Species,Transmitter,Month,n_COAs,level,method,area_km2
Bass,A69-1601-51651,2018-04-01T00:00:00Z,271,0.95,KDE95,0.0936738398662444
Bass,A69-1601-51651,2018-05-01T00:00:00Z,374,0.5,KDE50,0.028182853174895862
Bass,A69-1601-51651,2018-05-01T00:00:00Z,374,0.95,KDE95,0.08986812594836342
Bass,A69-1601-51651,2018-06-01T00:00:00Z,102,0.5,KDE50,0.02496052360334876
Bass,A69-1601-51651,2018-06-01T00:00:00Z,102,0.95,KDE95,0.06967849623099807
Bass,A69-1601-51655,2017-01-01T00:00:00Z,30,0.5,KDE50,0.07612593640102527
Bass,A69-1601-51655,2017-01-01T00:00:00Z,30,0.95,KDE95,0.2836399568984901
Bass,A69-1601-51656,2017-04-01T00:00:00Z,306,0.5,KDE50,0.024023222547003453
Bass,A69-1601-51656,2017-04-01T00:00:00Z,306,0.95,KDE95,0.03955316604907009
Bass,A69-1601-51657,2017-03-01T00:00:00Z,43,0.5,KDE50,0.033108266520723004
Bass,A69-1601-51657,2017-03-01T00:00:00Z,43,0.95,KDE95,0.09850534084820328
Bass,A69-1601-51657,2017-04-01T00:00:00Z,192,0.5,KDE50,0.033451555943885235
Bass,A69-1601-51657,2017-04-01T00:00:00Z,192,0.95,KDE95,0.11495429095366155
Bass,A69-1601-51657,2017-05-01T00:00:00Z,84,0.5,KDE50,0.029231942608586164
Bass,A69-1601-51657,2017-05-01T00:00:00Z,84,0.95,KDE95,0.12123506863314217
Bass,A69-1601-51657,2017-12-01T00:00:00Z,80,0.5,KDE50,0.0262322430707569
Bass,A69-1601-51657,2017-12-01T00:00:00Z,80,0.95,KDE95,0.0835676577886066
Bass,A69-1601-51657,2018-01-01T00:00:00Z,181,0.5,KDE50,0.018983820449282648
Bass,A69-1601-51657,2018-01-01T00:00:00Z,181,0.95,KDE95,0.09412331362922059
Bass,A69-1601-51657,2018-02-01T00:00:00Z,189,0.5,KDE50,0.037672082920556425
Bass,A69-1601-51657,2018-02-01T00:00:00Z,189,0.95,KDE95,0.14740798056831014
Bass,A69-1601-51657,2018-03-01T00:00:00Z,95,0.5,KDE50,0.019226145791631476
Bass,A69-1601-51657,2018-03-01T00:00:00Z,95,0.95,KDE95,0.09854226031174534
Bass,A69-1601-51657,2018-04-01T00:00:00Z,87,0.5,KDE50,0.020745914454214916
Bass,A69-1601-51657,2018-04-01T00:00:00Z,87,0.95,KDE95,0.08138982444038614
Bass,A69-1601-51658,2017-03-01T00:00:00Z,221,0.5,KDE50,0.01890520226830314
Bass,A69-1601-51658,2017-03-01T00:00:00Z,221,0.95,KDE95,0.06640053348649516
Bass,A69-1601-51658,2017-04-01T00:00:00Z,123,0.5,KDE50,0.01837825380114613
Bass,A69-1601-51658,2017-04-01T00:00:00Z,123,0.95,KDE95,0.06250417773215773
Bass,A69-1601-51658,2017-05-01T00:00:00Z,77,0.5,KDE50,0.02866117023080004
Bass,A69-1601-51658,2017-05-01T00:00:00Z,77,0.95,KDE95,0.07441971573546513
Bass,A69-1601-51658,2018-03-01T00:00:00Z,75,0.5,KDE50,0.042724890760612644
Bass,A69-1601-51658,2018-03-01T00:00:00Z,75,0.95,KDE95,0.1202521876785104
Bass,A69-1601-51658,2018-04-01T00:00:00Z,205,0.5,KDE50,0.047138765969462225
Bass,A69-1601-51658,2018-04-01T00:00:00Z,205,0.95,KDE95,0.12626286611646417
Bass,A69-1601-51658,2018-05-01T00:00:00Z,152,0.5,KDE50,0.026395041403036914
Bass,A69-1601-51658,2018-05-01T00:00:00Z,152,0.95,KDE95,0.10289376723507816
Bass,A69-1601-51658,2019-01-01T00:00:00Z,115,0.5,KDE50,0.04478654345283921
Bass,A69-1601-51658,2019-01-01T00:00:00Z,115,0.95,KDE95,0.1258872996258013
Bass,A69-1601-51658,2019-02-01T00:00:00Z,189,0.5,KDE50,0.051147995692523235
Bass,A69-1601-51658,2019-02-01T00:00:00Z,189,0.95,KDE95,0.17972019594772123
Bass,A69-1601-51658,2019-03-01T00:00:00Z,144,0.5,KDE50,0.43401795074899296
Bass,A69-1601-51658,2019-03-01T00:00:00Z,144,0.95,KDE95,1.7176111554071372
Bass,A69-1601-51660,2017-01-01T00:00:00Z,120,0.5,KDE50,0.015267355320888222
Bass,A69-1601-51660,2017-01-01T00:00:00Z,120,0.95,KDE95,0.05988954299540678
Bass,A69-1601-51660,2017-02-01T00:00:00Z,184,0.5,KDE50,0.021449054666117996
Bass,A69-1601-51660,2017-02-01T00:00:00Z,184,0.95,KDE95,0.12318367895879496
